song_rank,song_name,song_artist,song_date,song_url
1,風的形狀,岑寧兒,2021-07-22,https://www.kkbox.com/tw/tc/song/P3x00E09K1rMeZTxMeZTx0XL-index.html
2,對峙 (電影《怒火》主題曲) (Confrontation),對峙 (電影《怒火》主題曲) (Confrontation),2021-07-30,https://www.kkbox.com/tw/tc/song/Ksz005p.tXrAVJp.AVJp.0XL-index.html
3,螢,鄭秀文,2021-08-11,https://www.kkbox.com/tw/tc/song/r4M00L6PcA7W.NvzW.Nvz0XL-index.html
4,"Dear My Friend,",姜濤,2021-08-06,https://www.kkbox.com/tw/tc/song/XQa00aPU0M7v.r3fv.r3f0XL-index.html
5,小諧星,Edan 呂爵安,2021-07-23,https://www.kkbox.com/tw/tc/song/HQ-00T.19LrhaRfdhaRfd0XL-index.html
6,砂之器,柳應廷,2021-07-16,https://www.kkbox.com/tw/tc/song/mz100Cd065rJb3lXJb3lX0XL-index.html
7,係咁先啦 (feat. Kayan9896),MC $oho & KidNey,2021-07-30,https://www.kkbox.com/tw/tc/song/BfF004r-0.r8E3El8E3El0XL-index.html
8,Better,Tyson Yoshi,2021-07-24,https://www.kkbox.com/tw/tc/song/2oA00C.SmPrJQ-.5JQ-.50XL-index.html
9,相依為命,RU,2021-08-01,https://www.kkbox.com/tw/tc/song/T4000A74r27H7LozH7Loz0XL-index.html
10,我們,鄭中基,2021-07-21,https://www.kkbox.com/tw/tc/song/bv.00U0A25riWY.1iWY.10XL-index.html
11,日出時讓街燈安睡 (feat. Jacky Cheung 張學友),"Gin Lee, 張學友",2021-08-05,https://www.kkbox.com/tw/tc/song/Hzh00IL0dE7TWOmBTWOmB0XL-index.html
12,神奇之路（《媽媽的神奇小子》電影主題曲）,"柳應廷, 香港兒童合唱團",2021-08-02,https://www.kkbox.com/tw/tc/song/l1t00-W.pTrqtFaXqtFaX0XL-index.html
13,新造的人 (feat. SHIMICA),"鄭秀文, SHIMICA",2021-07-20,https://www.kkbox.com/tw/tc/song/Oxy0096815rEfBhPEfBhP0XL-index.html
14,Old Fashioned,"張敬軒 (Hins Cheung), 黎明 (Leon Lai)",2021-08-10,https://www.kkbox.com/tw/tc/song/KNK00G-W-M7PK-wBPK-wB0XL-index.html
15,逆時車站,洪嘉豪,2021-07-20,https://www.kkbox.com/tw/tc/song/n5200YKL69rpKR5.pKR5.0XL-index.html
16,"不可能發生 (劇集《智能愛人》主題曲) (Never Happening (Theme from TV Drama ""AI Romantic""))",譚嘉儀 (Kayee Tam),2021-08-03,https://www.kkbox.com/tw/tc/song/CWm00a6SbXruo4N5uo4N50XL-index.html
17,相依為命 (《今晚唱飲歌2》version) (Xiang Yi Wei Ming (《Jin Wan Chang Yin Ge 2》version)),許靖韻 (Angela Hui),2021-07-23,https://www.kkbox.com/tw/tc/song/Kly00WdCcHrlRclTlRclT0XL-index.html
18,別放棄治療 (Recovery),連詩雅 (Shiga Lin),2021-08-02,https://www.kkbox.com/tw/tc/song/azA00Xo4rXro6--Lo6--L0XL-index.html
19,私奔記,JUDE,2021-07-22,https://www.kkbox.com/tw/tc/song/oH-006M815rBgSfPBgSfP0XL-index.html
20,廢柴 (Loser),小肥,2021-08-10,https://www.kkbox.com/tw/tc/song/W-n00409.Q75yUvN5yUvN0XL-index.html
21,無可救藥的浪漫,Manson 張進翹 (Manson Cheung),2021-07-23,https://www.kkbox.com/tw/tc/song/r4x00XaY8XbneumZneumZ0XL-index.html
22,愛得太遲 (《今晚唱飲歌2》version) (Ai De Tai Chi (《Jin Wan Chang Yin Ge 2》version)),許靖韻 (Angela Hui),2021-07-23,https://www.kkbox.com/tw/tc/song/aWd00HGPOHrQr82hQr82h0XL-index.html
23,差一些什麼? (Missing Something),李靖筠 (Gladys Li),2021-07-20,https://www.kkbox.com/tw/tc/song/GVG00OmH15r.g-.P.g-.P0XL-index.html
24,雲咸街微醺的茶 (Night Of Tea Philosophy),禤錦麟 (Ben Huen),2021-08-11,https://www.kkbox.com/tw/tc/song/tQh00.a5nU7t.eHRt.eHR0XL-index.html
25,因愛之罪名,馮允謙,2021-07-16,https://www.kkbox.com/tw/tc/song/S1r004ISZ.b6i0Vz6i0Vz0XL-index.html
26,酷愛,張敬軒,2021-08-02,https://www.kkbox.com/tw/tc/song/ZAQ0068T5XrBG0YLBG0YL0XL-index.html
27,固執 (《今晚唱飲歌2》version) (Gu Zhi  (《Jin Wan Chang Yin Ge 2》version)),許靖韻 (Angela Hui),2021-07-23,https://www.kkbox.com/tw/tc/song/pMq00TbCcHrhj83Thj83T0XL-index.html
28,P.S. I Love You + 等等(一直相信演唱會現場版),Supper Moment,2021-07-14,https://www.kkbox.com/tw/tc/song/JSY00TZ1G1rhUnXThUnXT0XL-index.html
29,I Wish - Poolside Version,"Jace Chan, Jan Curious",2021-07-23,https://www.kkbox.com/tw/tc/song/inv00XG88HrmfIRTmfIRT0XL-index.html
30,無名故事,Kendy Suen,2021-08-03,https://www.kkbox.com/tw/tc/song/Vrj00wm1p271uMpF1uMpF0XL-index.html
31,荊棘海 (Sea of Thorns),泳兒 (Vincy Chan),2021-08-03,https://www.kkbox.com/tw/tc/song/FWP00SkCr27fY0wzfY0wz0XL-index.html
32,罰你,鄭欣宜,2021-08-10,https://www.kkbox.com/tw/tc/song/vKv00Q2MI67cfsUvcfsUv0XL-index.html
33,心獸 (怪物 Version),"葉巧琳 (Mischa Ip), Manson 張進翹",2021-08-09,https://www.kkbox.com/tw/tc/song/iSz008oCPE7DxqsRDxqsR0XL-index.html
34,情歌之後 (《今晚唱飲歌2》version) (Qing Ge Zhi Hou (《Jin Wan Chang Yin Ge 2》version)),許靖韻 (Angela Hui),2021-07-23,https://www.kkbox.com/tw/tc/song/Edp00-t1OHrryEKhryEKh0XL-index.html
35,你是我的Bae,"JNYBeatz, 193",2021-07-29,https://www.kkbox.com/tw/tc/song/dy-00X7-dHrmYa25mYa250XL-index.html
