song_rank,song_name,song_artist,song_date,song_url
1,青空未來 (Future),五月天 阿信,2021-07-28,https://www.kkbox.com/tw/tc/song/d6L00KOUN.rUv3ePUv3eP0XL-index.html
2,勇氣 (Courage),"魏嘉瑩, 魏如昀",2021-07-27,https://www.kkbox.com/tw/tc/song/PLQ004POLLr78J1P78J1P0XL-index.html
3,沒什麼大不了,"陳芳語 (Kimberley Chen), 茄子蛋",2021-08-06,https://www.kkbox.com/tw/tc/song/uX800A9O0.rHGjNHHGjNH0XL-index.html
4,我 (feat. 馬佳),"蕭敬騰, 馬佳",2021-08-06,https://www.kkbox.com/tw/tc/song/kZd00W8WP.rkDPo9kDPo90XL-index.html
5,人間遊戲,吳汶芳 (Fang Wu),2021-07-30,https://www.kkbox.com/tw/tc/song/lFz00IJHaXrTQRJxTQRJx0XL-index.html
6,愛情限時批 (Express love letter),"琳誼 Ring, 許富凱",2021-08-01,https://www.kkbox.com/tw/tc/song/Gpb00L-OOTrXdqOPXdqOP0XL-index.html
7,故作完美 (Imperfection),張語噥 (Sammy Chang),2021-07-30,https://www.kkbox.com/tw/tc/song/ynD0062.8DrAtt8PAtt8P0XL-index.html
8,我們 (《奇蹟》前導片插曲) (Us),Ray 黃霆睿,2021-07-29,https://www.kkbox.com/tw/tc/song/ILP00xN8NXr3QHDL3QHDL0XL-index.html
9,愛在蔓延時 (When Love Being Spread),飛兒樂團 (F.I.R.),2021-07-20,https://www.kkbox.com/tw/tc/song/XQe00DOHa9rLNSB.LNSB.0XL-index.html
10,煙火星辰 (電視劇《你是我的榮耀》片頭曲),摩登兄弟劉宇寧,2021-07-25,https://www.kkbox.com/tw/tc/song/7L400Gp-t.rPyye9Pyye90XL-index.html
11,光陰獨白 (電視劇《你是我的榮耀》片尾曲),徐佳瑩 (LaLa Hsu),2021-08-09,https://www.kkbox.com/tw/tc/song/oVG00TWDbE7hK--RhK--R0XL-index.html
12,忽然,韋禮安,2021-08-02,https://www.kkbox.com/tw/tc/song/m8p00DGOlPrKtZRxKtZRx0XL-index.html
13,第一默契,"許凱, 程瀟",2021-07-30,https://www.kkbox.com/tw/tc/song/IqO00KGGmHrUR9JTUR9JT0XL-index.html
14,Fall,高爾宣 OSN,2021-08-11,https://www.kkbox.com/tw/tc/song/uMn00X.45Lrn-7Qdn-7Qd0XL-index.html
15,拜你所傷,郭靜,2021-08-05,https://www.kkbox.com/tw/tc/song/vn700Q3S9E7ck9FBck9FB0XL-index.html
16,戀愛是選擇題由你,林鴻宇,2021-07-27,https://www.kkbox.com/tw/tc/song/2lz00S-1HLrfA2PtfA2Pt0XL-index.html
17,我存在你的存在 (Attached to You),"邵羽 (Sawyer), 陳忻玥",2021-07-20,https://www.kkbox.com/tw/tc/song/hS800yLT4DN5hF5.5hF5.0XL-index.html
18,Booyah,婁峻碩 (SHOU),2021-08-07,https://www.kkbox.com/tw/tc/song/ldf00CpOd.rK0KuPK0KuP0XL-index.html
19,Photographs,"蔡健雅, Carla Bruni",2021-08-05,https://www.kkbox.com/tw/tc/song/Zo700TpHl67iEC1JiEC1J0XL-index.html
20,Old Fashion Luv,LEE,2021-08-06,https://www.kkbox.com/tw/tc/song/QPK00I6PG67T0R5BT0R5B0XL-index.html
21,想了妳６次,ADEN,2021-07-23,https://www.kkbox.com/tw/tc/song/oHY00K5Q8XbU93CZU93CZ0XL-index.html
22,說給你聽 (電視劇《你是我的榮耀》插曲),楊宗緯,2021-08-02,https://www.kkbox.com/tw/tc/song/xpO00a589E7uiHcfuiHcf0XL-index.html
23,GREEN,施語庭,2021-08-10,https://www.kkbox.com/tw/tc/song/M0O00aMSrXrvQGDLvQGDL0XL-index.html
24,別怕 (I'm here),"麋先生, 任賢齊",2021-07-19,https://www.kkbox.com/tw/tc/song/Pyh00aH5.1rv4zeLv4zeL0XL-index.html
25,Midnight (feat. Dough-Boy),"G22 (G Double Two), Dough-Boy",2021-08-06,https://www.kkbox.com/tw/tc/song/b.O00.YGN27tNL6ztNL6z0XL-index.html
26,朱雀,時代少年團,2021-08-09,https://www.kkbox.com/tw/tc/song/CTH00x8L-M72tG.f2tG.f0XL-index.html
27,"問劫 (手遊《天地劫》主題曲) (APOCALYPSE (Theme Song from ""Kalpa of Universe""))",徐佳瑩 (LaLa Hsu),2021-07-16,https://www.kkbox.com/tw/tc/song/oGs00W9O65rkGPkXkGPkX0XL-index.html
28,你是怎麼了 (What is it About You),巫詠歡HAPPY,2021-08-05,https://www.kkbox.com/tw/tc/song/syj00E1Xq27MkjTrMkjTr0XL-index.html
29,逆者人群奔向你,張韶涵 (Angela Chang),2021-07-30,https://www.kkbox.com/tw/tc/song/1ic0040GmHr5z7dT5z7dT0XL-index.html
30,2020古堡 feat. 高爾宣 OSN,"FRαNKIE阿法, 高爾宣 OSN",2021-07-20,https://www.kkbox.com/tw/tc/song/L.T00T24L1rgEwS5gEwS50XL-index.html
31,不要在一起,吳鎮安,2021-07-16,https://www.kkbox.com/tw/tc/song/gIO00xa155r3vwJt3vwJt0XL-index.html
32,愛的方法 (片尾曲) (Love Method),"鼓鼓 呂思緯, 魏嘉瑩",2021-07-13,https://www.kkbox.com/tw/tc/song/MR7Hh00wKAG.bqX0NqX0N0X4-index.html
33,青春的酸也很甜,陳立農,2021-08-05,https://www.kkbox.com/tw/tc/song/PJo00UGU0E7j8.bZj8.bZ0XL-index.html
34,搖啊搖,"icyball 冰球樂團, Limi",2021-08-02,https://www.kkbox.com/tw/tc/song/oOj00Ol19.r.bGvt.bGvt0XL-index.html
35,上岸,青蛙,2021-08-01,https://www.kkbox.com/tw/tc/song/aIJ005L1d279FYeV9FYeV0XL-index.html
36,來者何人,梁心頤 (Lara),2021-07-20,https://www.kkbox.com/tw/tc/song/03.00EPSH5rNolj9Nolj90XL-index.html
37,濃縮藍鯨,裘德,2021-08-09,https://www.kkbox.com/tw/tc/song/Uvc005X0JM79aDxJ9aDxJ0XL-index.html
38,好好唱歌,黃小琥,2021-07-23,https://www.kkbox.com/tw/tc/song/Yt7008LI49rCq0TpCq0Tp0XL-index.html
39,我就奇怪 - 《池塘怪談》主題曲,魚丁糸,2021-07-23,https://www.kkbox.com/tw/tc/song/ivF00xI5IDr36wWt36wWt0XL-index.html
40,休息之道（Turn Off） (Turn Off),林彥俊,2021-08-05,https://www.kkbox.com/tw/tc/song/zYY00LN5s67XDTpBXDTpB0XL-index.html
41,你住的城市有我的影子嗎,芸芸,2021-07-27,https://www.kkbox.com/tw/tc/song/o9P00T6T1LrgW.x9gW.x90XL-index.html
42,傷到心已碎 (Heartbreak),李杰明 W.M.L,2021-08-09,https://www.kkbox.com/tw/tc/song/X1w00XmOrXro0qMpo0qMp0XL-index.html
43,被人,薛之謙,2021-07-30,https://www.kkbox.com/tw/tc/song/Zsi00W0GmHrjhQ5TjhQ5T0XL-index.html
44,第一個愛人 (Love Myself),江美琪,2021-07-20,https://www.kkbox.com/tw/tc/song/Z1R00Y0Q3.boVYizoVYiz0XL-index.html
45,"小光 -《小光》主題曲 (同志音樂愛情故事系列) (Light - ""Light"" Theme Song (Queer Up The Volume))","盧學叡 (Afalian Lufic), 林重鹹 (Derek Lin)",2021-08-02,https://www.kkbox.com/tw/tc/song/tZN00x9-0Pr2yMm52yMm50XL-index.html
46,宅家爽 (prod. by Die Young),李四,2021-07-23,https://www.kkbox.com/tw/tc/song/qyS004.LcDr7V0Lt7V0Lt0XL-index.html
47,Bluebirds,蔡健雅,2021-07-29,https://www.kkbox.com/tw/tc/song/-NM00-HXc9rqMW5pqMW5p0XL-index.html
48,風的形狀,岑寧兒,2021-07-22,https://www.kkbox.com/tw/tc/song/P3x00E09K1rMeZTxMeZTx0XL-index.html
49,沒時間等你 (Ain’t Gonna Wait),劉明湘 (Rose Liu),2021-07-30,https://www.kkbox.com/tw/tc/song/ELazN00wK--LrsvgXsvgX0X4-index.html
50,陷入愛情 (電視劇《你是我的榮耀》插曲),希林娜依·高 & 米卡,2021-08-02,https://www.kkbox.com/tw/tc/song/Ud000A589E7GzzCfGzzCf0XL-index.html
