song_rank,song_name,song_artist,song_date,song_url
1,Love Me Like That,Sam Kim,2021-07-24,https://www.kkbox.com/tw/tc/song/Z6Y00HG-N9rQs7ETQs7ET0XL-index.html
2,Struck By Lightning (feat. Cavetown),"Sara Kays, Cavetown",2021-08-06,https://www.kkbox.com/tw/tc/song/Svl00SY1LDrf2R3Hf2R3H0XL-index.html
3,Try Again,"DallasK, Lauv",2021-07-30,https://www.kkbox.com/tw/tc/song/QvS005MO9Lr9LQkd9LQkd0XL-index.html
4,Skate,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-07-30,https://www.kkbox.com/tw/tc/song/Q.Q00y6CX6759IWZ59IWZ0XL-index.html
5,Good Mood - Original Song From Paw Patrol: The Movie,Adam Levine,2021-08-06,https://www.kkbox.com/tw/tc/song/Ztd00Pr8lM7cNRjZcNRjZ0XL-index.html
6,Wishful Drinking,"Ingrid Andress, Sam Hunt",2021-08-02,https://www.kkbox.com/tw/tc/song/Z1L00LZCb.rX-vFdX-vFd0XL-index.html
7,Love Runs Out,"Martin Garrix, G-Eazy, Sasha Alex Sloan",2021-08-06,https://www.kkbox.com/tw/tc/song/Wes00APKPA7Hq-orHq-or0XL-index.html
8,Kiss My (Uh Oh),"Anne-Marie, Little Mix",2021-07-23,https://www.kkbox.com/tw/tc/song/CO400GlXc5rPjS-HPjS-H0XL-index.html
9,Push & Pull,Georgia Webster,2021-07-16,https://www.kkbox.com/tw/tc/song/zS400HoO5.bSIUaFSIUaF0XL-index.html
10,Good Things,Dan + Shay,2021-07-15,https://www.kkbox.com/tw/tc/song/N9C00.LIIPbswu-vswu-v0XL-index.html
11,Settle Down,"Fly By Midnight, Zaeden",2021-08-06,https://www.kkbox.com/tw/tc/song/f6v00L0PL67WERtJWERtJ0XL-index.html
12,life sentence,Zachary Knowles,2021-08-06,https://www.kkbox.com/tw/tc/song/n-T00UPLW67je57vje57v0XL-index.html
13,Lying With You,CHASE WRIGHT,2021-07-23,https://www.kkbox.com/tw/tc/song/xvl00ObGrPb.PV1Z.PV1Z0XL-index.html
14,Take My Breath,The Weeknd,2021-08-06,https://www.kkbox.com/tw/tc/song/CrD00.LKnM7sx4-Jsx4-J0XL-index.html
15,Don't Go Yet,Camila Cabello,2021-07-23,https://www.kkbox.com/tw/tc/song/F.k00yJYGHr5aAUh5aAUh0XL-index.html
16,Lying,Dan + Shay,2021-07-29,https://www.kkbox.com/tw/tc/song/KQ200P6DkDraXhH9aXhH90XL-index.html
18,Missing You Today,PUBLIC,2021-07-30,https://www.kkbox.com/tw/tc/song/QYU00.0-cXbs5MxZs5MxZ0XL-index.html
19,High Horse,"Nelly, BRELAND, Blanco Brown",2021-08-06,https://www.kkbox.com/tw/tc/song/2Fh0052I9A78VZR78VZR70XL-index.html
20,I Like That,Bazzi,2021-07-22,https://www.kkbox.com/tw/tc/song/8Ui00M0-JLrYc0adYc0ad0XL-index.html
21,Blame Myself,"ILLENIUM, Tori Kelly",2021-07-16,https://www.kkbox.com/tw/tc/song/fTw00Co.O5bJxktNJxktN0XL-index.html
