song_rank,song_name,song_artist,song_date,song_url
1,ラブレター,YOASOBI,2021-08-09,https://www.kkbox.com/tw/tc/song/X6v00AH6K67HMoLBHMoLB0XL-index.html
2,Ordinary days,milet,2021-07-14,https://www.kkbox.com/tw/tc/song/vcX00C-24PbJKIEvJKIEv0XL-index.html
3,DROP,美波,2021-07-21,https://www.kkbox.com/tw/tc/song/KfU00y9E9Xb5Kzgf5Kzgf0XL-index.html
4,燈火 - 日劇《TOKYO MER 東京救難英雄》主題曲,GReeeeN,2021-07-26,https://www.kkbox.com/tw/tc/song/wLR005O4sDr9RG099RG090XL-index.html
5,宇宙の季節,"Lanndo, Eve, suis (from ヨルシカ)",2021-07-26,https://www.kkbox.com/tw/tc/song/1KV00Ss8b.bg07Rzg07Rz0XL-index.html
6,シオン,Myuk,2021-07-22,https://www.kkbox.com/tw/tc/song/HnL00aPK.Tbv-sq7v-sq70XL-index.html
7,Love Song,Uru,2021-08-05,https://www.kkbox.com/tw/tc/song/oE300L.-HLrXim0PXim0P0XL-index.html
8,Applause,Yuki Akira,2021-08-08,https://www.kkbox.com/tw/tc/song/8Dm0064T9HrB0kq.B0kq.0XL-index.html
9,命ノ証,ASCA,2021-07-18,https://www.kkbox.com/tw/tc/song/yDo00LbPG9bXpQVRXpQVR0XL-index.html
10,プロローグ,"清水　翔太, Aimer",2021-07-21,https://www.kkbox.com/tw/tc/song/ET000EG--LbNJG-NNJG-N0XL-index.html
12,HADASHi NO STEP,LiSA,2021-07-26,https://www.kkbox.com/tw/tc/song/Ljd00O4YKPb-3VNB-3VNB0XL-index.html
13,東京今夜,フレンズ,2021-07-28,https://www.kkbox.com/tw/tc/song/pr-00Hr205rSRudlSRudl0XL-index.html
14,負けイベ実況プレイ,"Fifteen (Fifteen), Seiko Oomori (Seiko Oomori)",2021-08-04,https://www.kkbox.com/tw/tc/song/LKv00U8179riyAMhiyAMh0XL-index.html
15,undress me,Cö shu Nie,2021-07-24,https://www.kkbox.com/tw/tc/song/GVi00-lTH.brYMWVrYMWV0XL-index.html
16,頻率 - TOKYO FM 開局50週年紀念歌曲,SEKAI NO OWARI,2021-07-21,https://www.kkbox.com/tw/tc/song/bGz008ND55rCx6mPCx6mP0XL-index.html
17,Good One,平井 大,2021-07-18,https://www.kkbox.com/tw/tc/song/VDw00TPQ15rhHx2PhHx2P0XL-index.html
18,うたかた歌 (feat. 菅田将暉),"RADWIMPS, 菅田将暉",2021-08-06,https://www.kkbox.com/tw/tc/song/Hie00.tLrA7uOmb7uOmb70XL-index.html
19,family,SEKAI NO OWARI,2021-07-21,https://www.kkbox.com/tw/tc/song/ZyW00x7D55r2oasP2oasP0XL-index.html
20,ヨセアツメ,和ぬか,2021-08-02,https://www.kkbox.com/tw/tc/song/Zcf00K0X5XrTq-opTq-op0XL-index.html
21,Time will tell,RAKURA,2021-07-29,https://www.kkbox.com/tw/tc/song/RM300MHCtXbZFm5RZFm5R0XL-index.html
22,YY,ロイ-RöE-,2021-07-21,https://www.kkbox.com/tw/tc/song/BdX5U00w3K2XbDNCJDNCJ0X4-index.html
23,告白,MY FIRST STORY,2021-07-14,https://www.kkbox.com/tw/tc/song/.x4009N5bDNFL0zxFL0zx0XL-index.html
24,ああもう,近藤晃央,2021-08-06,https://www.kkbox.com/tw/tc/song/Wud00CY.067JFuoRJFuoR0XL-index.html
25,恋学者-2021-,ウソツキ,2021-07-21,https://www.kkbox.com/tw/tc/song/MaQ00-mA4PNr-OZlr-OZl0XL-index.html
26,ヒカルモノクラクナル,大森元貴,2021-08-06,https://www.kkbox.com/tw/tc/song/YXM00wtDG672M6yf2M6yf0XL-index.html
27,夏嵐,ジェニーハイ,2021-07-28,https://www.kkbox.com/tw/tc/song/YWs00G-IHDrPJJ.lPJJ.l0XL-index.html
28,Memory of Sunset,高野洸,2021-08-04,https://www.kkbox.com/tw/tc/song/QtS00S3U267dwhofdwhof0XL-index.html
29,初戀,"神はサイコロを振らない, アユニ・D, n-buna",2021-07-16,https://www.kkbox.com/tw/tc/song/XJG00PMAK.bb7-Grb7-Gr0XL-index.html
30,Start,Fuga Miura (Fuga Miura),2021-07-19,https://www.kkbox.com/tw/tc/song/u1x00XZ4m5bnS.c7nS.c70XL-index.html
31,Like Flames,MindaRyn,2021-08-25,https://www.kkbox.com/tw/tc/song/BI200O5IGPb-5krf-5krf0XL-index.html
32,またねがあれば,當山　みれい,2021-08-04,https://www.kkbox.com/tw/tc/song/UWI00aN52HrvRmzDvRmzD0XL-index.html
33,Pwp,Phaze,2021-08-02,https://www.kkbox.com/tw/tc/song/GSB00D3StA7KVGiNKVGiN0XL-index.html
34,S.O.S  (『ZERO-ONE Others 假面騎士滅亡迅雷』主題曲),MONKEY MAJIK,2021-07-14,https://www.kkbox.com/tw/tc/song/MQf00E81q.bN8PMbN8PMb0XL-index.html
