song_rank,song_name,song_artist,song_date,song_url
1,DUMB DUMB,전소미,2021-08-02,https://www.kkbox.com/tw/tc/song/axC00-L9NA7qZRV7qZRV70XL-index.html
2,I Like You,CHO JUNG SEOK,2021-07-20,https://www.kkbox.com/tw/tc/song/ixn00GJ0qDrObaxPObaxP0XL-index.html
3,You can't sit with us,SUNMI,2021-08-06,https://www.kkbox.com/tw/tc/song/TmB009K4ZHrF9PrLF9PrL0XL-index.html
4,Superstar,Mido and Falasol,2021-07-27,https://www.kkbox.com/tw/tc/song/VkG00-W8kPrqqPgLqqPgL0XL-index.html
5,Already One Year - Drama Version,Mido and Falasol,2021-08-03,https://www.kkbox.com/tw/tc/song/RXS00DXL867LZCaRLZCaR0XL-index.html
6,NAKKA (with IU),"AKMU (악뮤), 아이유(IU)",2021-07-26,https://www.kkbox.com/tw/tc/song/1G0004PQPXr78ba.78ba.0XL-index.html
7,Let's forget it - Drama Version,Mido and Falasol,2021-08-03,https://www.kkbox.com/tw/tc/song/UQA00PHL867apTORapTOR0XL-index.html
8,Heavy Heart,RIO,2021-07-18,https://www.kkbox.com/tw/tc/song/eo.00T6DM5rgV7rHgV7rH0XL-index.html
9,On Rainy Days(2021),Heize,2021-08-04,https://www.kkbox.com/tw/tc/song/kXg00-9A927qCePzqCePz0XL-index.html
10,After Midnight,ASTRO,2021-08-02,https://www.kkbox.com/tw/tc/song/rix00LX5NA7XSdIbXSdIb0XL-index.html
11,I love you more than anyone,TWICE,2021-07-13,https://www.kkbox.com/tw/tc/song/xmF00SXL8.bf0VQbf0VQb0XL-index.html
12,Rose,D.O.,2021-07-26,https://www.kkbox.com/tw/tc/song/mEE00.s1GPruIxtpuIxtp0XL-index.html
13,DIVE,JIN YOUNG (GOT7),2021-07-29,https://www.kkbox.com/tw/tc/song/5EM005ZCb279j2lj9j2lj0XL-index.html
14,BEcause,Dreamcatcher,2021-07-30,https://www.kkbox.com/tw/tc/song/FIy00C55GPrIC3fLIC3fL0XL-index.html
15,Second (Feat. BIBI),"HYO, BIBI",2021-08-09,https://www.kkbox.com/tw/tc/song/v1q00OLO-M7-gQyB-gQyB0XL-index.html
16,Promise U,"Solar, Moon Byul",2021-07-28,https://www.kkbox.com/tw/tc/song/-JA00IOI8.rTh.QHTh.QH0XL-index.html
17,Holiday Party,Weeekly,2021-08-04,https://www.kkbox.com/tw/tc/song/bC700GI-9E7Ob7xBOb7xB0XL-index.html
18,When Dawn Comes Again,"Colde, BAEKHYUN",2021-07-21,https://www.kkbox.com/tw/tc/song/Nmf00xm871r4JSf.4JSf.0XL-index.html
19,Ra Pam Pam,Golden Child,2021-08-02,https://www.kkbox.com/tw/tc/song/ntX00I7XbA7T54ENT54EN0XL-index.html
20,Blanket,"SURAN, Wonstein",2021-07-21,https://www.kkbox.com/tw/tc/song/EOd00U6DcDrirkTtirkTt0XL-index.html
21,I'm Gonna Love You (Feat. Wonstein),"D.O., Wonstein",2021-07-26,https://www.kkbox.com/tw/tc/song/bWR00Q81GPrd0h7pd0h7p0XL-index.html
22,THRILL RIDE,THE BOYZ,2021-08-09,https://www.kkbox.com/tw/tc/song/YB400HYI5Q7R-FYrR-FYr0XL-index.html
23,Summer or Summer,"HYOLYN, DASOM",2021-08-10,https://www.kkbox.com/tw/tc/song/kke00CdWkM7JeD2vJeD2v0XL-index.html
24,WHY Y (Feat. Tiger JK),"BIBI, Tiger JK",2021-07-27,https://www.kkbox.com/tw/tc/song/deP00.WT0.rtGvtltGvtl0XL-index.html
25,LIP (Love Is Poison),Cold Bay,2021-07-17,https://www.kkbox.com/tw/tc/song/bej00-nA25rrcC61rcC610XL-index.html
26,SUNNY,SUNMI,2021-08-06,https://www.kkbox.com/tw/tc/song/RcJ00.K4ZHrsrgJLsrgJL0XL-index.html
27,Summertime,"HA:TFELT, Keem Hyoeun",2021-07-14,https://www.kkbox.com/tw/tc/song/-q200-94J.bqBzdjqBzdj0XL-index.html
28,Strawberry Gum,"HA SUNG WOON, Don Mills",2021-08-09,https://www.kkbox.com/tw/tc/song/31k00HICJM7QxS7nQxS7n0XL-index.html
29,AirDrop,"Rad Museum, Wonstein",2021-08-04,https://www.kkbox.com/tw/tc/song/oUC00.68Z67sPZXJsPZXJ0XL-index.html
30,To You,YOO YEONSEOK,2021-08-10,https://www.kkbox.com/tw/tc/song/Z-U00y4L-M752.df52.df0XL-index.html
31,I can't make you love me,"KINDA BLUE, HWA SA",2021-08-03,https://www.kkbox.com/tw/tc/song/du500SsI1E7g15Jfg15Jf0XL-index.html
32,Go Back,10CM,2021-08-08,https://www.kkbox.com/tw/tc/song/Vef00LOW4Q7XJevFXJevF0XL-index.html
33,YAYAYA,"Skinny Brown, TOIL, Mirani",2021-07-29,https://www.kkbox.com/tw/tc/song/9Oq00xcPa2745wBb45wBb0XL-index.html
34,Baby I Love U,KIM SEJEONG,2021-07-23,https://www.kkbox.com/tw/tc/song/IVN00H81GPrQhBNpQhBNp0XL-index.html
35,ALL IN,"Jay Park, pH-1, GroovyRoom",2021-08-03,https://www.kkbox.com/tw/tc/song/vSZ00HoWk.rSJLY1SJLY10XL-index.html
36,1/6,SUNMI,2021-08-06,https://www.kkbox.com/tw/tc/song/UTq00P-4ZHrb.RXLb.RXL0XL-index.html
37,Summer Fiction,We Are The Night,2021-08-09,https://www.kkbox.com/tw/tc/song/vGV00w.21671VfLZ1VfLZ0XL-index.html
38,Told You So (Prod. CODE KUNST ),호미들,2021-08-01,https://www.kkbox.com/tw/tc/song/GLt00KWLr27V1q0zV1q0z0XL-index.html
39,My Love,D.O.,2021-07-26,https://www.kkbox.com/tw/tc/song/02w00EO1GPrNiSLpNiSLp0XL-index.html
40,Waterfall,ASTRO,2021-08-02,https://www.kkbox.com/tw/tc/song/3qR00.l5NA7tsewbtsewb0XL-index.html
41,These Walls,Sam Kim,2021-07-16,https://www.kkbox.com/tw/tc/song/BXC00Sc91DrfQ1JXfQ1JX0XL-index.html
42,Call,SUNMI,2021-08-06,https://www.kkbox.com/tw/tc/song/-nO00Do4ZHrMJAjLMJAjL0XL-index.html
43,"Hey kid, Close your eyes (with Lee Sun Hee)","AKMU (악뮤), 이선희",2021-07-26,https://www.kkbox.com/tw/tc/song/KKD00G9QPXrOQsO.OQsO.0XL-index.html
44,I Don't Love You (Feat. Coogie),GRAY,2021-08-10,https://www.kkbox.com/tw/tc/song/E9m009I1GU7F1VpZF1VpZ0XL-index.html
