song_rank,song_name,song_artist,song_date,song_url
1,愛情限時批 (Express love letter),"琳誼 Ring, 許富凱",2021-08-01,https://www.kkbox.com/tw/tc/song/Gpb00L-OOTrXdqOPXdqOP0XL-index.html
2,心愛的再會啦 (Farewell my love),琳誼 Ring,2021-06-01,https://www.kkbox.com/tw/tc/song/fon00SkLpH7fYv9NfYv9N0XL-index.html
3,牡丹雨,陳隨意vs唐儷,2021-07-01,https://www.kkbox.com/tw/tc/song/I1n00S0.p5bdm0Wzdm0Wz0XL-index.html
4,歲月的腳步,唐儷vs陳隨意,2021-06-08,https://www.kkbox.com/tw/tc/song/B5D00CqM6T7K3yVvK3yVv0XL-index.html
5,今生愛一回,陳淑萍vs陳隨意,2021-06-08,https://www.kkbox.com/tw/tc/song/PlK00HrW7T7SUgI3SUgI30XL-index.html
6,愛是因為你 - 三立八點檔「天之驕女」片尾曲,蘇宥蓉,2021-07-31,https://www.kkbox.com/tw/tc/song/aD-00I7A6XrT2qXTT2qXT0XL-index.html
7,心愛別離開,陳淑萍vs楊哲,2021-06-08,https://www.kkbox.com/tw/tc/song/hty0067W7T7BCRW3BCRW30XL-index.html
8,男人酒女人淚,陳隨意vs唐儷,2021-07-01,https://www.kkbox.com/tw/tc/song/Zrp00GG.p5bOVjizOVjiz0XL-index.html
9,雨夜相思淚,董育君vs吳俊宏,2021-07-01,https://www.kkbox.com/tw/tc/song/G7L00K7XL5bUHK4zUHK4z0XL-index.html
10,胭脂花,陳淑萍,2021-06-08,https://www.kkbox.com/tw/tc/song/l9I00TbW7T7hkx43hkx430XL-index.html
11,讓愛飛翔,豪記之星,2021-06-17,https://www.kkbox.com/tw/tc/song/UsJ005O4NTN9RAxx9RAxx0XL-index.html
12,紅塵一場夢,陳隨意,2021-07-01,https://www.kkbox.com/tw/tc/song/F--j800w0.p5b3i4z3i4z0X4-index.html
